Category: All categories

Week,valky: (Worldwide)
2022-02-20,87
2022-02-27,100
2022-03-06,40
2022-03-13,37
2022-03-20,36
2022-03-27,30
2022-04-03,27
2022-04-10,22
2022-04-17,28
2022-04-24,27
2022-05-01,31
2022-05-08,32
2022-05-15,22
2022-05-22,33
2022-05-29,29
2022-06-05,26
2022-06-12,23
2022-06-19,21
2022-06-26,16
2022-07-03,25
2022-07-10,18
2022-07-17,17
2022-07-24,12
2022-07-31,14
2022-08-07,16
2022-08-14,13
2022-08-21,19
2022-08-28,16
2022-09-04,18
2022-09-11,19
2022-09-18,27
2022-09-25,27
2022-10-02,25
2022-10-09,22
2022-10-16,25
2022-10-23,20
2022-10-30,27
2022-11-06,23
2022-11-13,25
2022-11-20,24
2022-11-27,24
2022-12-04,22
2022-12-11,26
2022-12-18,19
2022-12-25,22
2023-01-01,25
2023-01-08,29
2023-01-15,34
2023-01-22,35
2023-01-29,32
2023-02-05,29
2023-02-12,26
2023-02-19,32
2023-02-26,29
2023-03-05,29
2023-03-12,30
2023-03-19,26
2023-03-26,23
2023-04-02,21
2023-04-09,30
2023-04-16,24
2023-04-23,27
2023-04-30,24
2023-05-07,43
2023-05-14,27
2023-05-21,24
2023-05-28,26
2023-06-04,26
2023-06-11,26
2023-06-18,25
2023-06-25,19
2023-07-02,21
2023-07-09,26
2023-07-16,21
2023-07-23,15
