Category: All categories

Week,Varash: (Worldwide)
2022-02-20,67
2022-02-27,53
2022-03-06,55
2022-03-13,67
2022-03-20,66
2022-03-27,67
2022-04-03,64
2022-04-10,71
2022-04-17,67
2022-04-24,64
2022-05-01,66
2022-05-08,71
2022-05-15,78
2022-05-22,81
2022-05-29,81
2022-06-05,73
2022-06-12,85
2022-06-19,86
2022-06-26,77
2022-07-03,85
2022-07-10,86
2022-07-17,79
2022-07-24,89
2022-07-31,77
2022-08-07,80
2022-08-14,78
2022-08-21,68
2022-08-28,74
2022-09-04,75
2022-09-11,77
2022-09-18,74
2022-09-25,69
2022-10-02,67
2022-10-09,70
2022-10-16,73
2022-10-23,68
2022-10-30,67
2022-11-06,68
2022-11-13,73
2022-11-20,64
2022-11-27,56
2022-12-04,63
2022-12-11,75
2022-12-18,72
2022-12-25,74
2023-01-01,68
2023-01-08,66
2023-01-15,62
2023-01-22,61
2023-01-29,67
2023-02-05,66
2023-02-12,69
2023-02-19,67
2023-02-26,70
2023-03-05,77
2023-03-12,82
2023-03-19,84
2023-03-26,85
2023-04-02,86
2023-04-09,75
2023-04-16,81
2023-04-23,84
2023-04-30,82
2023-05-07,77
2023-05-14,74
2023-05-21,75
2023-05-28,73
2023-06-04,88
2023-06-11,100
2023-06-18,90
2023-06-25,100
2023-07-02,87
2023-07-09,76
2023-07-16,87
2023-07-23,98
