Category: All categories

Week,Vasylivka: (Worldwide)
2022-02-20,45
2022-02-27,100
2022-03-06,25
2022-03-13,31
2022-03-20,18
2022-03-27,17
2022-04-03,14
2022-04-10,30
2022-04-17,16
2022-04-24,30
2022-05-01,13
2022-05-08,12
2022-05-15,20
2022-05-22,34
2022-05-29,16
2022-06-05,17
2022-06-12,13
2022-06-19,15
2022-06-26,12
2022-07-03,10
2022-07-10,12
2022-07-17,12
2022-07-24,14
2022-07-31,17
2022-08-07,15
2022-08-14,17
2022-08-21,12
2022-08-28,13
2022-09-04,16
2022-09-11,12
2022-09-18,13
2022-09-25,14
2022-10-02,14
2022-10-09,7
2022-10-16,7
2022-10-23,7
2022-10-30,7
2022-11-06,8
2022-11-13,9
2022-11-20,7
2022-11-27,8
2022-12-04,7
2022-12-11,6
2022-12-18,7
2022-12-25,8
2023-01-01,27
2023-01-08,9
2023-01-15,6
2023-01-22,7
2023-01-29,6
2023-02-05,6
2023-02-12,6
2023-02-19,6
2023-02-26,8
2023-03-05,9
2023-03-12,8
2023-03-19,6
2023-03-26,6
2023-04-02,7
2023-04-09,7
2023-04-16,8
2023-04-23,7
2023-04-30,10
2023-05-07,7
2023-05-14,7
2023-05-21,7
2023-05-28,7
2023-06-04,9
2023-06-11,12
2023-06-18,21
2023-06-25,9
2023-07-02,10
2023-07-09,8
2023-07-16,10
