Category: All categories

Week,Vasyl'kivka: (Worldwide)
2022-02-20,81
2022-02-27,70
2022-03-06,100
2022-03-13,39
2022-03-20,37
2022-03-27,42
2022-04-03,50
2022-04-10,53
2022-04-17,45
2022-04-24,40
2022-05-01,41
2022-05-08,47
2022-05-15,45
2022-05-22,58
2022-05-29,65
2022-06-05,46
2022-06-12,69
2022-06-19,60
2022-06-26,45
2022-07-03,51
2022-07-10,66
2022-07-17,55
2022-07-24,45
2022-07-31,65
2022-08-07,57
2022-08-14,51
2022-08-21,49
2022-08-28,53
2022-09-04,46
2022-09-11,52
2022-09-18,51
2022-09-25,51
2022-10-02,45
2022-10-09,46
2022-10-16,50
2022-10-23,56
2022-10-30,49
2022-11-06,42
2022-11-13,63
2022-11-20,49
2022-11-27,41
2022-12-04,41
2022-12-11,46
2022-12-18,42
2022-12-25,43
2023-01-01,62
2023-01-08,46
2023-01-15,39
2023-01-22,37
2023-01-29,49
2023-02-05,40
2023-02-12,40
2023-02-19,49
2023-02-26,41
2023-03-05,50
2023-03-12,55
2023-03-19,51
2023-03-26,59
2023-04-02,71
2023-04-09,74
2023-04-16,76
2023-04-23,77
2023-04-30,55
2023-05-07,68
2023-05-14,57
2023-05-21,80
2023-05-28,71
2023-06-04,54
2023-06-11,69
2023-06-18,48
2023-06-25,65
2023-07-02,71
2023-07-09,71
2023-07-16,61
2023-07-23,79
