Category: All categories

Week,Velyka Bilozerka: (Worldwide)
2022-02-20,100
2022-02-27,86
2022-03-06,30
2022-03-13,31
2022-03-20,32
2022-03-27,66
2022-04-03,31
2022-04-10,49
2022-04-17,52
2022-04-24,22
2022-05-01,40
2022-05-08,44
2022-05-15,62
2022-05-22,41
2022-05-29,32
2022-06-05,32
2022-06-12,50
2022-06-19,48
2022-06-26,55
2022-07-03,32
2022-07-10,18
2022-07-17,16
2022-07-24,9
2022-07-31,7
2022-08-07,12
2022-08-14,23
2022-08-21,16
2022-08-28,52
2022-09-04,13
2022-09-11,20
2022-09-18,26
2022-09-25,20
2022-10-02,12
2022-10-09,26
2022-10-16,22
2022-10-23,10
2022-10-30,18
2022-11-06,19
2022-11-13,9
2022-11-20,23
2022-11-27,19
2022-12-04,33
2022-12-11,20
2022-12-18,28
2022-12-25,41
2023-01-01,26
2023-01-08,31
2023-01-15,31
2023-01-22,13
2023-01-29,25
2023-02-05,29
2023-02-12,30
2023-02-19,21
2023-02-26,19
2023-03-05,27
2023-03-12,25
2023-03-19,22
2023-03-26,31
2023-04-02,18
2023-04-09,31
2023-04-16,35
2023-04-23,31
2023-04-30,33
2023-05-07,37
2023-05-14,9
2023-05-21,30
2023-05-28,32
2023-06-04,16
2023-06-11,30
2023-06-18,28
2023-06-25,25
2023-07-02,37
2023-07-09,26
2023-07-16,23
2023-07-23,63
