Category: All categories

Week,Velyka Komyshuvakha: (Worldwide)
2022-02-20,0
2022-02-27,4
2022-03-06,5
2022-03-13,0
2022-03-20,0
2022-03-27,5
2022-04-03,0
2022-04-10,10
2022-04-17,5
2022-04-24,95
2022-05-01,21
2022-05-08,20
2022-05-15,16
2022-05-22,6
2022-05-29,16
2022-06-05,5
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,3
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,2
2022-08-07,10
2022-08-14,15
2022-08-21,0
2022-08-28,0
2022-09-04,0
2022-09-11,100
2022-09-18,0
2022-09-25,0
2022-10-02,3
2022-10-09,0
2022-10-16,0
2022-10-23,3
2022-10-30,2
2022-11-06,4
2022-11-13,0
2022-11-20,0
2022-11-27,2
2022-12-04,0
2022-12-11,3
2022-12-18,0
2022-12-25,3
2023-01-01,3
2023-01-08,3
2023-01-15,4
2023-01-22,0
2023-01-29,6
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,3
2023-03-26,0
2023-04-02,3
2023-04-09,0
2023-04-16,2
2023-04-23,0
2023-04-30,3
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,7
2023-07-02,3
2023-07-09,0
2023-07-16,7
2023-07-23,14
