Category: All categories

Week,Velyka Lepetykha: (Worldwide)
2022-02-20,70
2022-02-27,72
2022-03-06,65
2022-03-13,78
2022-03-20,62
2022-03-27,41
2022-04-03,59
2022-04-10,70
2022-04-17,100
2022-04-24,57
2022-05-01,24
2022-05-08,40
2022-05-15,53
2022-05-22,60
2022-05-29,34
2022-06-05,3
2022-06-12,17
2022-06-19,19
2022-06-26,12
2022-07-03,20
2022-07-10,16
2022-07-17,17
2022-07-24,8
2022-07-31,18
2022-08-07,15
2022-08-14,25
2022-08-21,28
2022-08-28,24
2022-09-04,32
2022-09-11,21
2022-09-18,18
2022-09-25,16
2022-10-02,25
2022-10-09,26
2022-10-16,21
2022-10-23,22
2022-10-30,21
2022-11-06,21
2022-11-13,6
2022-11-20,16
2022-11-27,16
2022-12-04,11
2022-12-11,11
2022-12-18,18
2022-12-25,17
2023-01-01,11
2023-01-08,32
2023-01-15,29
2023-01-22,14
2023-01-29,15
2023-02-05,7
2023-02-12,16
2023-02-19,24
2023-02-26,13
2023-03-05,25
2023-03-12,20
2023-03-19,21
2023-03-26,7
2023-04-02,22
2023-04-09,35
2023-04-16,23
2023-04-23,22
2023-04-30,12
2023-05-07,15
2023-05-14,7
2023-05-21,17
2023-05-28,10
2023-06-04,39
2023-06-11,0
2023-06-18,15
2023-06-25,9
2023-07-02,18
2023-07-09,16
2023-07-16,22
2023-07-23,24
