Category: All categories

Week,Velyka Novosilka: (Worldwide)
2022-02-20,19
2022-02-27,20
2022-03-06,21
2022-03-13,13
2022-03-20,11
2022-03-27,58
2022-04-03,26
2022-04-10,18
2022-04-17,24
2022-04-24,39
2022-05-01,24
2022-05-08,11
2022-05-15,20
2022-05-22,8
2022-05-29,8
2022-06-05,7
2022-06-12,6
2022-06-19,8
2022-06-26,4
2022-07-03,11
2022-07-10,5
2022-07-17,7
2022-07-24,5
2022-07-31,8
2022-08-07,9
2022-08-14,7
2022-08-21,3
2022-08-28,7
2022-09-04,9
2022-09-11,7
2022-09-18,6
2022-09-25,6
2022-10-02,3
2022-10-09,2
2022-10-16,5
2022-10-23,4
2022-10-30,4
2022-11-06,3
2022-11-13,6
2022-11-20,4
2022-11-27,4
2022-12-04,0
2022-12-11,35
2022-12-18,8
2022-12-25,4
2023-01-01,3
2023-01-08,6
2023-01-15,7
2023-01-22,5
2023-01-29,3
2023-02-05,5
2023-02-12,5
2023-02-19,8
2023-02-26,3
2023-03-05,8
2023-03-12,3
2023-03-19,6
2023-03-26,7
2023-04-02,9
2023-04-09,6
2023-04-16,7
2023-04-23,5
2023-04-30,5
2023-05-07,7
2023-05-14,2
2023-05-21,6
2023-05-28,6
2023-06-04,74
2023-06-11,100
2023-06-18,12
2023-06-25,14
2023-07-02,9
2023-07-09,9
2023-07-16,10
