Category: All categories

Week,Velyka Oleksandrivka: (Worldwide)
2022-02-20,22
2022-02-27,10
2022-03-06,37
2022-03-13,12
2022-03-20,11
2022-03-27,17
2022-04-03,15
2022-04-10,9
2022-04-17,14
2022-04-24,61
2022-05-01,7
2022-05-08,10
2022-05-15,7
2022-05-22,6
2022-05-29,15
2022-06-05,6
2022-06-12,7
2022-06-19,3
2022-06-26,5
2022-07-03,5
2022-07-10,6
2022-07-17,6
2022-07-24,4
2022-07-31,5
2022-08-07,3
2022-08-14,6
2022-08-21,6
2022-08-28,5
2022-09-04,9
2022-09-11,5
2022-09-18,3
2022-09-25,4
2022-10-02,100
2022-10-09,17
2022-10-16,12
2022-10-23,8
2022-10-30,6
2022-11-06,10
2022-11-13,5
2022-11-20,5
2022-11-27,4
2022-12-04,3
2022-12-11,7
2022-12-18,5
2022-12-25,6
2023-01-01,6
2023-01-08,11
2023-01-15,8
2023-01-22,7
2023-01-29,9
2023-02-05,6
2023-02-12,6
2023-02-19,7
2023-02-26,7
2023-03-05,9
2023-03-12,6
2023-03-19,12
2023-03-26,11
2023-04-02,7
2023-04-09,11
2023-04-16,11
2023-04-23,14
2023-04-30,14
2023-05-07,11
2023-05-14,8
2023-05-21,9
2023-05-28,9
2023-06-04,9
2023-06-11,12
2023-06-18,12
2023-06-25,12
2023-07-02,12
2023-07-09,8
2023-07-16,14
2023-07-23,0
