Category: All categories

Week,Velyka Znam'yanka: (Worldwide)
2022-02-20,54
2022-02-27,39
2022-03-06,52
2022-03-13,53
2022-03-20,66
2022-03-27,68
2022-04-03,83
2022-04-10,100
2022-04-17,59
2022-04-24,37
2022-05-01,32
2022-05-08,34
2022-05-15,73
2022-05-22,52
2022-05-29,26
2022-06-05,24
2022-06-12,46
2022-06-19,54
2022-06-26,50
2022-07-03,33
2022-07-10,30
2022-07-17,16
2022-07-24,26
2022-07-31,24
2022-08-07,22
2022-08-14,23
2022-08-21,0
2022-08-28,18
2022-09-04,0
2022-09-11,30
2022-09-18,37
2022-09-25,32
2022-10-02,19
2022-10-09,0
2022-10-16,0
2022-10-23,28
2022-10-30,32
2022-11-06,0
2022-11-13,11
2022-11-20,19
2022-11-27,0
2022-12-04,34
2022-12-11,41
2022-12-18,28
2022-12-25,16
2023-01-01,45
2023-01-08,34
2023-01-15,19
2023-01-22,16
2023-01-29,26
2023-02-05,38
2023-02-12,27
2023-02-19,35
2023-02-26,9
2023-03-05,32
2023-03-12,16
2023-03-19,43
2023-03-26,38
2023-04-02,48
2023-04-09,34
2023-04-16,43
2023-04-23,41
2023-04-30,20
2023-05-07,26
2023-05-14,46
2023-05-21,25
2023-05-28,25
2023-06-04,23
2023-06-11,24
2023-06-18,59
2023-06-25,15
2023-07-02,23
2023-07-09,17
2023-07-16,13
2023-07-23,37
