Category: All categories

Week,Velykyi Burluk: (Worldwide)
2022-02-20,25
2022-02-27,10
2022-03-06,6
2022-03-13,14
2022-03-20,12
2022-03-27,11
2022-04-03,14
2022-04-10,100
2022-04-17,7
2022-04-24,3
2022-05-01,5
2022-05-08,7
2022-05-15,4
2022-05-22,4
2022-05-29,4
2022-06-05,4
2022-06-12,26
2022-06-19,12
2022-06-26,5
2022-07-03,18
2022-07-10,35
2022-07-17,7
2022-07-24,8
2022-07-31,8
2022-08-07,4
2022-08-14,4
2022-08-21,3
2022-08-28,3
2022-09-04,55
2022-09-11,50
2022-09-18,6
2022-09-25,8
2022-10-02,8
2022-10-09,6
2022-10-16,8
2022-10-23,9
2022-10-30,10
2022-11-06,9
2022-11-13,12
2022-11-20,10
2022-11-27,8
2022-12-04,12
2022-12-11,12
2022-12-18,15
2022-12-25,12
2023-01-01,13
2023-01-08,16
2023-01-15,10
2023-01-22,11
2023-01-29,10
2023-02-05,10
2023-02-12,7
2023-02-19,8
2023-02-26,10
2023-03-05,12
2023-03-12,13
2023-03-19,13
2023-03-26,16
2023-04-02,17
2023-04-09,12
2023-04-16,13
2023-04-23,16
2023-04-30,14
2023-05-07,16
2023-05-14,13
2023-05-21,20
2023-05-28,14
2023-06-04,10
2023-06-11,16
2023-06-18,15
2023-06-25,17
2023-07-02,13
2023-07-09,14
2023-07-16,16
2023-07-23,0
