Category: All categories

Week,Verkhnii Rohachyk: (Worldwide)
2022-02-20,98
2022-02-27,61
2022-03-06,39
2022-03-13,50
2022-03-20,50
2022-03-27,83
2022-04-03,51
2022-04-10,63
2022-04-17,98
2022-04-24,34
2022-05-01,66
2022-05-08,81
2022-05-15,100
2022-05-22,91
2022-05-29,32
2022-06-05,40
2022-06-12,54
2022-06-19,73
2022-06-26,37
2022-07-03,98
2022-07-10,32
2022-07-17,37
2022-07-24,20
2022-07-31,41
2022-08-07,10
2022-08-14,24
2022-08-21,23
2022-08-28,30
2022-09-04,52
2022-09-11,44
2022-09-18,36
2022-09-25,36
2022-10-02,21
2022-10-09,35
2022-10-16,42
2022-10-23,12
2022-10-30,29
2022-11-06,17
2022-11-13,19
2022-11-20,0
2022-11-27,22
2022-12-04,13
2022-12-11,14
2022-12-18,25
2022-12-25,25
2023-01-01,18
2023-01-08,33
2023-01-15,0
2023-01-22,26
2023-01-29,32
2023-02-05,8
2023-02-12,21
2023-02-19,16
2023-02-26,15
2023-03-05,0
2023-03-12,23
2023-03-19,34
2023-03-26,28
2023-04-02,27
2023-04-09,12
2023-04-16,22
2023-04-23,32
2023-04-30,17
2023-05-07,30
2023-05-14,19
2023-05-21,40
2023-05-28,20
2023-06-04,38
2023-06-11,34
2023-06-18,24
2023-06-25,37
2023-07-02,44
2023-07-09,17
2023-07-16,32
2023-07-23,0
