Category: All categories

Week,vesele: (Worldwide)
2022-02-20,8
2022-02-27,8
2022-03-06,9
2022-03-13,8
2022-03-20,8
2022-03-27,10
2022-04-03,10
2022-04-10,22
2022-04-17,16
2022-04-24,8
2022-05-01,9
2022-05-08,9
2022-05-15,8
2022-05-22,12
2022-05-29,14
2022-06-05,8
2022-06-12,8
2022-06-19,7
2022-06-26,7
2022-07-03,6
2022-07-10,7
2022-07-17,7
2022-07-24,6
2022-07-31,7
2022-08-07,7
2022-08-14,9
2022-08-21,8
2022-08-28,8
2022-09-04,9
2022-09-11,8
2022-09-18,9
2022-09-25,8
2022-10-02,8
2022-10-09,11
2022-10-16,8
2022-10-23,10
2022-10-30,9
2022-11-06,11
2022-11-13,11
2022-11-20,13
2022-11-27,15
2022-12-04,18
2022-12-11,21
2022-12-18,100
2022-12-25,19
2023-01-01,9
2023-01-08,9
2023-01-15,8
2023-01-22,10
2023-01-29,8
2023-02-05,8
2023-02-12,9
2023-02-19,8
2023-02-26,8
2023-03-05,10
2023-03-12,8
2023-03-19,9
2023-03-26,8
2023-04-02,24
2023-04-09,19
2023-04-16,8
2023-04-23,9
2023-04-30,9
2023-05-07,10
2023-05-14,10
2023-05-21,9
2023-05-28,9
2023-06-04,8
2023-06-11,9
2023-06-18,7
2023-06-25,8
2023-07-02,8
2023-07-09,7
2023-07-16,7
2023-07-23,6
