Category: All categories

Week,Vil'nohirs'k: (Worldwide)
2022-02-20,37
2022-02-27,41
2022-03-06,37
2022-03-13,34
2022-03-20,40
2022-03-27,41
2022-04-03,42
2022-04-10,49
2022-04-17,46
2022-04-24,41
2022-05-01,38
2022-05-08,100
2022-05-15,44
2022-05-22,45
2022-05-29,54
2022-06-05,39
2022-06-12,53
2022-06-19,53
2022-06-26,42
2022-07-03,52
2022-07-10,53
2022-07-17,47
2022-07-24,50
2022-07-31,51
2022-08-07,51
2022-08-14,58
2022-08-21,41
2022-08-28,51
2022-09-04,43
2022-09-11,50
2022-09-18,48
2022-09-25,47
2022-10-02,41
2022-10-09,77
2022-10-16,41
2022-10-23,41
2022-10-30,38
2022-11-06,42
2022-11-13,48
2022-11-20,35
2022-11-27,35
2022-12-04,37
2022-12-11,38
2022-12-18,41
2022-12-25,31
2023-01-01,36
2023-01-08,34
2023-01-15,32
2023-01-22,28
2023-01-29,37
2023-02-05,40
2023-02-12,31
2023-02-19,37
2023-02-26,35
2023-03-05,44
2023-03-12,36
2023-03-19,39
2023-03-26,50
2023-04-02,44
2023-04-09,46
2023-04-16,50
2023-04-23,52
2023-04-30,38
2023-05-07,39
2023-05-14,33
2023-05-21,50
2023-05-28,54
2023-06-04,49
2023-06-11,44
2023-06-18,49
2023-06-25,55
2023-07-02,63
2023-07-09,54
2023-07-16,61
2023-07-23,53
