Category: All categories

Week,Vil'nyans'k: (Worldwide)
2022-02-20,31
2022-02-27,31
2022-03-06,26
2022-03-13,26
2022-03-20,26
2022-03-27,31
2022-04-03,31
2022-04-10,38
2022-04-17,37
2022-04-24,29
2022-05-01,28
2022-05-08,34
2022-05-15,39
2022-05-22,53
2022-05-29,41
2022-06-05,31
2022-06-12,47
2022-06-19,42
2022-06-26,40
2022-07-03,44
2022-07-10,38
2022-07-17,41
2022-07-24,42
2022-07-31,46
2022-08-07,38
2022-08-14,43
2022-08-21,32
2022-08-28,33
2022-09-04,37
2022-09-11,33
2022-09-18,33
2022-09-25,35
2022-10-02,34
2022-10-09,39
2022-10-16,31
2022-10-23,36
2022-10-30,33
2022-11-06,35
2022-11-13,70
2022-11-20,100
2022-11-27,45
2022-12-04,36
2022-12-11,36
2022-12-18,35
2022-12-25,31
2023-01-01,36
2023-01-08,40
2023-01-15,28
2023-01-22,34
2023-01-29,31
2023-02-05,33
2023-02-12,32
2023-02-19,28
2023-02-26,36
2023-03-05,34
2023-03-12,34
2023-03-19,36
2023-03-26,43
2023-04-02,43
2023-04-09,40
2023-04-16,43
2023-04-23,42
2023-04-30,33
2023-05-07,43
2023-05-14,33
2023-05-21,48
2023-05-28,41
2023-06-04,35
2023-06-11,40
2023-06-18,37
2023-06-25,41
2023-07-02,39
2023-07-09,45
2023-07-16,33
2023-07-23,32
