Category: All categories

Week,vinnytsia: (Worldwide)
2022-02-20,27
2022-02-27,25
2022-03-06,68
2022-03-13,12
2022-03-20,12
2022-03-27,5
2022-04-03,6
2022-04-10,7
2022-04-17,5
2022-04-24,6
2022-05-01,7
2022-05-08,6
2022-05-15,5
2022-05-22,5
2022-05-29,4
2022-06-05,5
2022-06-12,5
2022-06-19,4
2022-06-26,4
2022-07-03,4
2022-07-10,100
2022-07-17,15
2022-07-24,6
2022-07-31,6
2022-08-07,5
2022-08-14,4
2022-08-21,4
2022-08-28,4
2022-09-04,4
2022-09-11,4
2022-09-18,4
2022-09-25,4
2022-10-02,2
2022-10-09,7
2022-10-16,5
2022-10-23,5
2022-10-30,3
2022-11-06,3
2022-11-13,6
2022-11-20,4
2022-11-27,3
2022-12-04,4
2022-12-11,4
2022-12-18,2
2022-12-25,3
2023-01-01,5
2023-01-08,4
2023-01-15,5
2023-01-22,4
2023-01-29,3
2023-02-05,3
2023-02-12,4
2023-02-19,4
2023-02-26,3
2023-03-05,4
2023-03-12,3
2023-03-19,4
2023-03-26,3
2023-04-02,3
2023-04-09,3
2023-04-16,4
2023-04-23,4
2023-04-30,4
2023-05-07,4
2023-05-14,3
2023-05-21,3
2023-05-28,3
2023-06-04,3
2023-06-11,4
2023-06-18,4
2023-06-25,3
2023-07-02,4
2023-07-09,6
2023-07-16,4
