Category: All categories

Week,Vorzel': (Worldwide)
2022-02-20,100
2022-02-27,50
2022-03-06,43
2022-03-13,19
2022-03-20,9
2022-03-27,35
2022-04-03,23
2022-04-10,13
2022-04-17,10
2022-04-24,7
2022-05-01,4
2022-05-08,8
2022-05-15,7
2022-05-22,8
2022-05-29,9
2022-06-05,7
2022-06-12,8
2022-06-19,9
2022-06-26,8
2022-07-03,8
2022-07-10,8
2022-07-17,8
2022-07-24,9
2022-07-31,10
2022-08-07,11
2022-08-14,11
2022-08-21,8
2022-08-28,11
2022-09-04,10
2022-09-11,14
2022-09-18,9
2022-09-25,8
2022-10-02,12
2022-10-09,7
2022-10-16,7
2022-10-23,10
2022-10-30,11
2022-11-06,7
2022-11-13,7
2022-11-20,6
2022-11-27,6
2022-12-04,7
2022-12-11,6
2022-12-18,6
2022-12-25,7
2023-01-01,9
2023-01-08,7
2023-01-15,7
2023-01-22,8
2023-01-29,8
2023-02-05,9
2023-02-12,8
2023-02-19,9
2023-02-26,10
2023-03-05,9
2023-03-12,9
2023-03-19,11
2023-03-26,11
2023-04-02,9
2023-04-09,10
2023-04-16,10
2023-04-23,11
2023-04-30,9
2023-05-07,8
2023-05-14,10
2023-05-21,10
2023-05-28,10
2023-06-04,9
2023-06-11,10
2023-06-18,10
2023-06-25,11
2023-07-02,13
2023-07-09,11
2023-07-16,13
