Category: All categories

Week,Vovchans'k: (Worldwide)
2022-02-20,84
2022-02-27,28
2022-03-06,19
2022-03-13,16
2022-03-20,31
2022-03-27,16
2022-04-03,18
2022-04-10,9
2022-04-17,9
2022-04-24,15
2022-05-01,15
2022-05-08,15
2022-05-15,22
2022-05-22,12
2022-05-29,8
2022-06-05,10
2022-06-12,8
2022-06-19,6
2022-06-26,7
2022-07-03,5
2022-07-10,8
2022-07-17,7
2022-07-24,6
2022-07-31,9
2022-08-07,6
2022-08-14,7
2022-08-21,7
2022-08-28,6
2022-09-04,86
2022-09-11,100
2022-09-18,13
2022-09-25,12
2022-10-02,11
2022-10-09,10
2022-10-16,10
2022-10-23,15
2022-10-30,10
2022-11-06,9
2022-11-13,11
2022-11-20,11
2022-11-27,9
2022-12-04,9
2022-12-11,9
2022-12-18,9
2022-12-25,10
2023-01-01,8
2023-01-08,12
2023-01-15,9
2023-01-22,9
2023-01-29,9
2023-02-05,12
2023-02-12,15
2023-02-19,12
2023-02-26,8
2023-03-05,6
2023-03-12,7
2023-03-19,8
2023-03-26,8
2023-04-02,10
2023-04-09,7
2023-04-16,12
2023-04-23,9
2023-04-30,8
2023-05-07,9
2023-05-14,7
2023-05-21,8
2023-05-28,10
2023-06-04,16
2023-06-11,7
2023-06-18,12
2023-06-25,14
2023-07-02,9
2023-07-09,6
2023-07-16,11
