Category: All categories

Week,Vradiivka: (Worldwide)
2022-02-20,67
2022-02-27,68
2022-03-06,68
2022-03-13,48
2022-03-20,61
2022-03-27,67
2022-04-03,77
2022-04-10,76
2022-04-17,83
2022-04-24,70
2022-05-01,57
2022-05-08,70
2022-05-15,84
2022-05-22,90
2022-05-29,100
2022-06-05,86
2022-06-12,70
2022-06-19,100
2022-06-26,74
2022-07-03,92
2022-07-10,91
2022-07-17,58
2022-07-24,63
2022-07-31,68
2022-08-07,56
2022-08-14,68
2022-08-21,49
2022-08-28,57
2022-09-04,71
2022-09-11,81
2022-09-18,70
2022-09-25,89
2022-10-02,51
2022-10-09,54
2022-10-16,52
2022-10-23,55
2022-10-30,69
2022-11-06,62
2022-11-13,66
2022-11-20,45
2022-11-27,48
2022-12-04,43
2022-12-11,46
2022-12-18,57
2022-12-25,56
2023-01-01,74
2023-01-08,63
2023-01-15,51
2023-01-22,43
2023-01-29,65
2023-02-05,62
2023-02-12,80
2023-02-19,72
2023-02-26,53
2023-03-05,64
2023-03-12,66
2023-03-19,68
2023-03-26,95
2023-04-02,90
2023-04-09,89
2023-04-16,93
2023-04-23,93
2023-04-30,80
2023-05-07,67
2023-05-14,78
2023-05-21,93
2023-05-28,53
2023-06-04,60
2023-06-11,57
2023-06-18,59
2023-06-25,83
2023-07-02,90
2023-07-09,65
2023-07-16,97
2023-07-23,42
