Category: All categories

Week,vuhlehirsk: (Worldwide)
2022-02-20,0
2022-02-27,4
2022-03-06,0
2022-03-13,5
2022-03-20,0
2022-03-27,0
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,3
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,10
2022-06-12,5
2022-06-19,5
2022-06-26,0
2022-07-03,7
2022-07-10,7
2022-07-17,35
2022-07-24,100
2022-07-31,7
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,5
2022-09-04,0
2022-09-11,5
2022-09-18,4
2022-09-25,0
2022-10-02,7
2022-10-09,0
2022-10-16,10
2022-10-23,0
2022-10-30,5
2022-11-06,4
2022-11-13,0
2022-11-20,0
2022-11-27,0
2022-12-04,5
2022-12-11,0
2022-12-18,4
2022-12-25,0
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,8
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,16
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,5
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,0
