Category: All categories

Week,Yahotyn: (Worldwide)
2022-02-20,67
2022-02-27,74
2022-03-06,100
2022-03-13,57
2022-03-20,66
2022-03-27,69
2022-04-03,60
2022-04-10,71
2022-04-17,68
2022-04-24,61
2022-05-01,56
2022-05-08,62
2022-05-15,74
2022-05-22,72
2022-05-29,73
2022-06-05,65
2022-06-12,75
2022-06-19,75
2022-06-26,79
2022-07-03,75
2022-07-10,78
2022-07-17,73
2022-07-24,67
2022-07-31,73
2022-08-07,72
2022-08-14,66
2022-08-21,65
2022-08-28,54
2022-09-04,65
2022-09-11,69
2022-09-18,66
2022-09-25,58
2022-10-02,58
2022-10-09,53
2022-10-16,57
2022-10-23,57
2022-10-30,56
2022-11-06,53
2022-11-13,58
2022-11-20,46
2022-11-27,46
2022-12-04,54
2022-12-11,60
2022-12-18,40
2022-12-25,52
2023-01-01,62
2023-01-08,57
2023-01-15,46
2023-01-22,47
2023-01-29,48
2023-02-05,46
2023-02-12,56
2023-02-19,63
2023-02-26,51
2023-03-05,59
2023-03-12,56
2023-03-19,62
2023-03-26,68
2023-04-02,70
2023-04-09,68
2023-04-16,68
2023-04-23,69
2023-04-30,69
2023-05-07,60
2023-05-14,59
2023-05-21,72
2023-05-28,60
2023-06-04,70
2023-06-11,67
2023-06-18,69
2023-06-25,72
2023-07-02,78
2023-07-09,68
2023-07-16,74
2023-07-23,80
