Category: All categories

Week,Yaremche: (Worldwide)
2022-02-20,36
2022-02-27,46
2022-03-06,60
2022-03-13,48
2022-03-20,39
2022-03-27,35
2022-04-03,34
2022-04-10,33
2022-04-17,32
2022-04-24,31
2022-05-01,34
2022-05-08,30
2022-05-15,28
2022-05-22,28
2022-05-29,28
2022-06-05,30
2022-06-12,30
2022-06-19,32
2022-06-26,37
2022-07-03,39
2022-07-10,39
2022-07-17,42
2022-07-24,51
2022-07-31,52
2022-08-07,58
2022-08-14,57
2022-08-21,55
2022-08-28,40
2022-09-04,37
2022-09-11,34
2022-09-18,32
2022-09-25,34
2022-10-02,36
2022-10-09,36
2022-10-16,37
2022-10-23,34
2022-10-30,32
2022-11-06,31
2022-11-13,28
2022-11-20,25
2022-11-27,24
2022-12-04,24
2022-12-11,28
2022-12-18,28
2022-12-25,39
2023-01-01,46
2023-01-08,37
2023-01-15,30
2023-01-22,30
2023-01-29,29
2023-02-05,27
2023-02-12,27
2023-02-19,27
2023-02-26,24
2023-03-05,22
2023-03-12,27
2023-03-19,25
2023-03-26,28
2023-04-02,27
2023-04-09,24
2023-04-16,28
2023-04-23,32
2023-04-30,32
2023-05-07,40
2023-05-14,37
2023-05-21,48
2023-05-28,52
2023-06-04,61
2023-06-11,63
2023-06-18,75
2023-06-25,88
2023-07-02,100
2023-07-09,93
2023-07-16,99
2023-07-23,93
