Category: All categories

Week,Yasynuvata: (Worldwide)
2022-02-20,66
2022-02-27,56
2022-03-06,43
2022-03-13,100
2022-03-20,70
2022-03-27,55
2022-04-03,81
2022-04-10,95
2022-04-17,59
2022-04-24,61
2022-05-01,81
2022-05-08,65
2022-05-15,53
2022-05-22,55
2022-05-29,50
2022-06-05,41
2022-06-12,38
2022-06-19,40
2022-06-26,75
2022-07-03,59
2022-07-10,38
2022-07-17,31
2022-07-24,15
2022-07-31,20
2022-08-07,12
2022-08-14,16
2022-08-21,18
2022-08-28,20
2022-09-04,56
2022-09-11,21
2022-09-18,36
2022-09-25,17
2022-10-02,17
2022-10-09,23
2022-10-16,16
2022-10-23,19
2022-10-30,14
2022-11-06,42
2022-11-13,18
2022-11-20,13
2022-11-27,15
2022-12-04,18
2022-12-11,13
2022-12-18,15
2022-12-25,14
2023-01-01,15
2023-01-08,15
2023-01-15,12
2023-01-22,10
2023-01-29,15
2023-02-05,19
2023-02-12,10
2023-02-19,15
2023-02-26,15
2023-03-05,13
2023-03-12,13
2023-03-19,11
2023-03-26,12
2023-04-02,15
2023-04-09,17
2023-04-16,14
2023-04-23,8
2023-04-30,17
2023-05-07,19
2023-05-14,21
2023-05-21,13
2023-05-28,15
2023-06-04,9
2023-06-11,10
2023-06-18,8
2023-06-25,21
2023-07-02,24
2023-07-09,12
2023-07-16,9
