Category: All categories

Week,Yevpatoriya: (Worldwide)
2022-02-20,40
2022-02-27,38
2022-03-06,34
2022-03-13,42
2022-03-20,46
2022-03-27,46
2022-04-03,46
2022-04-10,46
2022-04-17,45
2022-04-24,41
2022-05-01,47
2022-05-08,42
2022-05-15,53
2022-05-22,58
2022-05-29,58
2022-06-05,68
2022-06-12,65
2022-06-19,79
2022-06-26,81
2022-07-03,76
2022-07-10,85
2022-07-17,84
2022-07-24,79
2022-07-31,81
2022-08-07,100
2022-08-14,93
2022-08-21,73
2022-08-28,60
2022-09-04,58
2022-09-11,55
2022-09-18,47
2022-09-25,41
2022-10-02,39
2022-10-09,38
2022-10-16,38
2022-10-23,40
2022-10-30,37
2022-11-06,34
2022-11-13,39
2022-11-20,41
2022-11-27,37
2022-12-04,38
2022-12-11,41
2022-12-18,40
2022-12-25,40
2023-01-01,41
2023-01-08,40
2023-01-15,38
2023-01-22,41
2023-01-29,41
2023-02-05,42
2023-02-12,42
2023-02-19,41
2023-02-26,41
2023-03-05,41
2023-03-12,44
2023-03-19,43
2023-03-26,46
2023-04-02,44
2023-04-09,43
2023-04-16,45
2023-04-23,45
2023-04-30,42
2023-05-07,42
2023-05-14,44
2023-05-21,49
2023-05-28,52
2023-06-04,50
2023-06-11,54
2023-06-18,55
2023-06-25,56
2023-07-02,64
2023-07-09,71
2023-07-16,63
2023-07-23,71
