Category: All categories

Week,Yunakivka: (Worldwide)
2022-02-20,100
2022-02-27,20
2022-03-06,25
2022-03-13,4
2022-03-20,21
2022-03-27,17
2022-04-03,39
2022-04-10,23
2022-04-17,8
2022-04-24,19
2022-05-01,67
2022-05-08,25
2022-05-15,0
2022-05-22,20
2022-05-29,15
2022-06-05,7
2022-06-12,21
2022-06-19,64
2022-06-26,15
2022-07-03,15
2022-07-10,8
2022-07-17,9
2022-07-24,16
2022-07-31,25
2022-08-07,12
2022-08-14,12
2022-08-21,6
2022-08-28,7
2022-09-04,0
2022-09-11,0
2022-09-18,0
2022-09-25,6
2022-10-02,11
2022-10-09,8
2022-10-16,19
2022-10-23,10
2022-10-30,14
2022-11-06,5
2022-11-13,16
2022-11-20,12
2022-11-27,10
2022-12-04,11
2022-12-11,11
2022-12-18,0
2022-12-25,4
2023-01-01,15
2023-01-08,0
2023-01-15,13
2023-01-22,20
2023-01-29,8
2023-02-05,12
2023-02-12,10
2023-02-19,7
2023-02-26,17
2023-03-05,5
2023-03-12,11
2023-03-19,0
2023-03-26,0
2023-04-02,17
2023-04-09,5
2023-04-16,19
2023-04-23,14
2023-04-30,0
2023-05-07,7
2023-05-14,15
2023-05-21,18
2023-05-28,11
2023-06-04,5
2023-06-11,15
2023-06-18,5
2023-06-25,5
2023-07-02,0
2023-07-09,0
2023-07-16,0
2023-07-23,0
