Category: All categories

Week,Yuzhne: (Worldwide)
2022-02-20,86
2022-02-27,100
2022-03-06,48
2022-03-13,54
2022-03-20,48
2022-03-27,67
2022-04-03,45
2022-04-10,62
2022-04-17,60
2022-04-24,50
2022-05-01,50
2022-05-08,53
2022-05-15,66
2022-05-22,62
2022-05-29,65
2022-06-05,58
2022-06-12,59
2022-06-19,58
2022-06-26,60
2022-07-03,59
2022-07-10,62
2022-07-17,58
2022-07-24,59
2022-07-31,67
2022-08-07,73
2022-08-14,66
2022-08-21,57
2022-08-28,64
2022-09-04,64
2022-09-11,70
2022-09-18,64
2022-09-25,58
2022-10-02,61
2022-10-09,48
2022-10-16,62
2022-10-23,61
2022-10-30,49
2022-11-06,49
2022-11-13,51
2022-11-20,53
2022-11-27,47
2022-12-04,49
2022-12-11,49
2022-12-18,51
2022-12-25,41
2023-01-01,45
2023-01-08,53
2023-01-15,51
2023-01-22,48
2023-01-29,54
2023-02-05,57
2023-02-12,51
2023-02-19,50
2023-02-26,56
2023-03-05,50
2023-03-12,47
2023-03-19,59
2023-03-26,61
2023-04-02,64
2023-04-09,62
2023-04-16,66
2023-04-23,63
2023-04-30,53
2023-05-07,49
2023-05-14,58
2023-05-21,60
2023-05-28,54
2023-06-04,51
2023-06-11,74
2023-06-18,65
2023-06-25,72
2023-07-02,64
2023-07-09,61
2023-07-16,69
