Category: All categories

Week,Yuzhnoukrains'k: (Worldwide)
2022-02-20,77
2022-02-27,100
2022-03-06,70
2022-03-13,57
2022-03-20,55
2022-03-27,56
2022-04-03,52
2022-04-10,57
2022-04-17,52
2022-04-24,54
2022-05-01,47
2022-05-08,47
2022-05-15,52
2022-05-22,57
2022-05-29,54
2022-06-05,55
2022-06-12,52
2022-06-19,62
2022-06-26,54
2022-07-03,64
2022-07-10,50
2022-07-17,46
2022-07-24,48
2022-07-31,52
2022-08-07,59
2022-08-14,59
2022-08-21,58
2022-08-28,56
2022-09-04,51
2022-09-11,56
2022-09-18,75
2022-09-25,56
2022-10-02,45
2022-10-09,43
2022-10-16,49
2022-10-23,47
2022-10-30,47
2022-11-06,41
2022-11-13,49
2022-11-20,57
2022-11-27,42
2022-12-04,47
2022-12-11,54
2022-12-18,59
2022-12-25,50
2023-01-01,53
2023-01-08,47
2023-01-15,47
2023-01-22,45
2023-01-29,41
2023-02-05,45
2023-02-12,48
2023-02-19,48
2023-02-26,43
2023-03-05,49
2023-03-12,48
2023-03-19,48
2023-03-26,57
2023-04-02,55
2023-04-09,54
2023-04-16,60
2023-04-23,54
2023-04-30,44
2023-05-07,44
2023-05-14,44
2023-05-21,55
2023-05-28,48
2023-06-04,42
2023-06-11,50
2023-06-18,47
2023-06-25,56
2023-07-02,61
2023-07-09,53
2023-07-16,52
2023-07-23,35
