Category: All categories

Week,Zavodske: (Worldwide)
2022-02-20,41
2022-02-27,47
2022-03-06,46
2022-03-13,57
2022-03-20,52
2022-03-27,68
2022-04-03,100
2022-04-10,66
2022-04-17,85
2022-04-24,59
2022-05-01,68
2022-05-08,77
2022-05-15,81
2022-05-22,86
2022-05-29,98
2022-06-05,67
2022-06-12,75
2022-06-19,97
2022-06-26,79
2022-07-03,80
2022-07-10,90
2022-07-17,89
2022-07-24,89
2022-07-31,75
2022-08-07,85
2022-08-14,72
2022-08-21,57
2022-08-28,68
2022-09-04,72
2022-09-11,85
2022-09-18,81
2022-09-25,74
2022-10-02,77
2022-10-09,65
2022-10-16,71
2022-10-23,67
2022-10-30,70
2022-11-06,63
2022-11-13,68
2022-11-20,43
2022-11-27,67
2022-12-04,62
2022-12-11,80
2022-12-18,46
2022-12-25,79
2023-01-01,71
2023-01-08,69
2023-01-15,52
2023-01-22,48
2023-01-29,45
2023-02-05,57
2023-02-12,61
2023-02-19,56
2023-02-26,60
2023-03-05,66
2023-03-12,59
2023-03-19,82
2023-03-26,92
2023-04-02,76
2023-04-09,86
2023-04-16,87
2023-04-23,73
2023-04-30,79
2023-05-07,51
2023-05-14,78
2023-05-21,81
2023-05-28,76
2023-06-04,54
2023-06-11,74
2023-06-18,79
2023-06-25,98
2023-07-02,75
2023-07-09,63
2023-07-16,82
2023-07-23,88
