Category: All categories

Week,zhytomyr: (Worldwide)
2022-02-20,33
2022-02-27,100
2022-03-06,47
2022-03-13,19
2022-03-20,23
2022-03-27,14
2022-04-03,22
2022-04-10,8
2022-04-17,6
2022-04-24,8
2022-05-01,5
2022-05-08,6
2022-05-15,11
2022-05-22,9
2022-05-29,8
2022-06-05,8
2022-06-12,6
2022-06-19,8
2022-06-26,6
2022-07-03,6
2022-07-10,6
2022-07-17,4
2022-07-24,6
2022-07-31,4
2022-08-07,3
2022-08-14,8
2022-08-21,4
2022-08-28,5
2022-09-04,5
2022-09-11,4
2022-09-18,6
2022-09-25,7
2022-10-02,8
2022-10-09,10
2022-10-16,9
2022-10-23,9
2022-10-30,8
2022-11-06,6
2022-11-13,9
2022-11-20,8
2022-11-27,5
2022-12-04,5
2022-12-11,5
2022-12-18,7
2022-12-25,6
2023-01-01,4
2023-01-08,5
2023-01-15,5
2023-01-22,3
2023-01-29,6
2023-02-05,6
2023-02-12,8
2023-02-19,6
2023-02-26,6
2023-03-05,7
2023-03-12,5
2023-03-19,5
2023-03-26,5
2023-04-02,6
2023-04-09,4
2023-04-16,6
2023-04-23,5
2023-04-30,10
2023-05-07,7
2023-05-14,5
2023-05-21,7
2023-05-28,10
2023-06-04,6
2023-06-11,4
2023-06-18,4
2023-06-25,6
2023-07-02,6
2023-07-09,7
2023-07-16,12
