Category: All categories

Week,Zmiiv: (Worldwide)
2022-02-20,85
2022-02-27,77
2022-03-06,65
2022-03-13,52
2022-03-20,58
2022-03-27,66
2022-04-03,65
2022-04-10,63
2022-04-17,69
2022-04-24,53
2022-05-01,65
2022-05-08,80
2022-05-15,74
2022-05-22,68
2022-05-29,78
2022-06-05,62
2022-06-12,68
2022-06-19,80
2022-06-26,60
2022-07-03,60
2022-07-10,72
2022-07-17,63
2022-07-24,58
2022-07-31,75
2022-08-07,57
2022-08-14,73
2022-08-21,58
2022-08-28,70
2022-09-04,72
2022-09-11,100
2022-09-18,70
2022-09-25,59
2022-10-02,71
2022-10-09,58
2022-10-16,57
2022-10-23,57
2022-10-30,56
2022-11-06,53
2022-11-13,59
2022-11-20,53
2022-11-27,48
2022-12-04,57
2022-12-11,59
2022-12-18,57
2022-12-25,53
2023-01-01,61
2023-01-08,63
2023-01-15,52
2023-01-22,52
2023-01-29,47
2023-02-05,51
2023-02-12,63
2023-02-19,54
2023-02-26,53
2023-03-05,56
2023-03-12,54
2023-03-19,58
2023-03-26,64
2023-04-02,64
2023-04-09,57
2023-04-16,65
2023-04-23,76
2023-04-30,66
2023-05-07,58
2023-05-14,57
2023-05-21,64
2023-05-28,67
2023-06-04,59
2023-06-11,70
2023-06-18,62
2023-06-25,70
2023-07-02,65
2023-07-09,70
2023-07-16,59
2023-07-23,69
