Category: All categories

Week,Znam'yanka: (Worldwide)
2022-02-20,92
2022-02-27,100
2022-03-06,74
2022-03-13,55
2022-03-20,64
2022-03-27,65
2022-04-03,71
2022-04-10,81
2022-04-17,68
2022-04-24,68
2022-05-01,67
2022-05-08,66
2022-05-15,68
2022-05-22,77
2022-05-29,79
2022-06-05,66
2022-06-12,71
2022-06-19,74
2022-06-26,68
2022-07-03,66
2022-07-10,75
2022-07-17,71
2022-07-24,73
2022-07-31,73
2022-08-07,70
2022-08-14,67
2022-08-21,62
2022-08-28,66
2022-09-04,65
2022-09-11,74
2022-09-18,63
2022-09-25,62
2022-10-02,51
2022-10-09,54
2022-10-16,58
2022-10-23,58
2022-10-30,60
2022-11-06,55
2022-11-13,63
2022-11-20,49
2022-11-27,46
2022-12-04,51
2022-12-11,59
2022-12-18,55
2022-12-25,55
2023-01-01,67
2023-01-08,57
2023-01-15,53
2023-01-22,52
2023-01-29,53
2023-02-05,55
2023-02-12,58
2023-02-19,60
2023-02-26,58
2023-03-05,67
2023-03-12,63
2023-03-19,62
2023-03-26,74
2023-04-02,70
2023-04-09,75
2023-04-16,70
2023-04-23,74
2023-04-30,68
2023-05-07,61
2023-05-14,63
2023-05-21,72
2023-05-28,63
2023-06-04,58
2023-06-11,70
2023-06-18,65
2023-06-25,69
2023-07-02,76
2023-07-09,71
2023-07-16,72
2023-07-23,63
