Category: All categories

Week,zolote: (Worldwide)
2022-02-20,20
2022-02-27,3
2022-03-06,5
2022-03-13,0
2022-03-20,3
2022-03-27,3
2022-04-03,8
2022-04-10,5
2022-04-17,11
2022-04-24,4
2022-05-01,2
2022-05-08,4
2022-05-15,12
2022-05-22,14
2022-05-29,8
2022-06-05,3
2022-06-12,17
2022-06-19,100
2022-06-26,20
2022-07-03,6
2022-07-10,2
2022-07-17,6
2022-07-24,3
2022-07-31,6
2022-08-07,0
2022-08-14,3
2022-08-21,3
2022-08-28,3
2022-09-04,4
2022-09-11,3
2022-09-18,0
2022-09-25,7
2022-10-02,8
2022-10-09,0
2022-10-16,5
2022-10-23,4
2022-10-30,2
2022-11-06,0
2022-11-13,0
2022-11-20,6
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,4
2022-12-25,0
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,5
2023-01-29,0
2023-02-05,0
2023-02-12,3
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,4
2023-03-19,3
2023-03-26,3
2023-04-02,0
2023-04-09,2
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,2
2023-05-14,0
2023-05-21,8
2023-05-28,2
2023-06-04,7
2023-06-11,0
2023-06-18,3
2023-06-25,0
2023-07-02,0
2023-07-09,4
2023-07-16,0
