Category: All categories

Week,Zolotonosha: (Worldwide)
2022-02-20,85
2022-02-27,76
2022-03-06,96
2022-03-13,75
2022-03-20,77
2022-03-27,82
2022-04-03,84
2022-04-10,91
2022-04-17,84
2022-04-24,75
2022-05-01,79
2022-05-08,84
2022-05-15,87
2022-05-22,95
2022-05-29,94
2022-06-05,77
2022-06-12,90
2022-06-19,86
2022-06-26,79
2022-07-03,86
2022-07-10,100
2022-07-17,80
2022-07-24,71
2022-07-31,88
2022-08-07,85
2022-08-14,81
2022-08-21,72
2022-08-28,77
2022-09-04,76
2022-09-11,88
2022-09-18,91
2022-09-25,83
2022-10-02,74
2022-10-09,60
2022-10-16,71
2022-10-23,79
2022-10-30,62
2022-11-06,67
2022-11-13,66
2022-11-20,61
2022-11-27,55
2022-12-04,65
2022-12-11,74
2022-12-18,67
2022-12-25,73
2023-01-01,80
2023-01-08,71
2023-01-15,58
2023-01-22,59
2023-01-29,73
2023-02-05,66
2023-02-12,69
2023-02-19,75
2023-02-26,80
2023-03-05,81
2023-03-12,74
2023-03-19,76
2023-03-26,98
2023-04-02,90
2023-04-09,80
2023-04-16,96
2023-04-23,91
2023-04-30,76
2023-05-07,79
2023-05-14,72
2023-05-21,98
2023-05-28,74
2023-06-04,73
2023-06-11,81
2023-06-18,86
2023-06-25,88
2023-07-02,92
2023-07-09,83
2023-07-16,88
2023-07-23,76
