Category: All categories

Week,zorya: (Worldwide)
2022-02-20,17
2022-02-27,10
2022-03-06,8
2022-03-13,8
2022-03-20,7
2022-03-27,4
2022-04-03,4
2022-04-10,9
2022-04-17,6
2022-04-24,6
2022-05-01,6
2022-05-08,5
2022-05-15,5
2022-05-22,5
2022-05-29,4
2022-06-05,5
2022-06-12,4
2022-06-19,4
2022-06-26,4
2022-07-03,5
2022-07-10,6
2022-07-17,7
2022-07-24,8
2022-07-31,34
2022-08-07,33
2022-08-14,4
2022-08-21,18
2022-08-28,16
2022-09-04,23
2022-09-11,4
2022-09-18,4
2022-09-25,4
2022-10-02,12
2022-10-09,6
2022-10-16,21
2022-10-23,17
2022-10-30,16
2022-11-06,27
2022-11-13,59
2022-11-20,9
2022-11-27,100
2022-12-04,5
2022-12-11,3
2022-12-18,3
2022-12-25,5
2023-01-01,3
2023-01-08,3
2023-01-15,4
2023-01-22,4
2023-01-29,6
2023-02-05,10
2023-02-12,5
2023-02-19,3
2023-02-26,7
2023-03-05,16
2023-03-12,13
2023-03-19,4
2023-03-26,4
2023-04-02,19
2023-04-09,8
2023-04-16,11
2023-04-23,14
2023-04-30,49
2023-05-07,25
2023-05-14,30
2023-05-21,29
2023-05-28,13
2023-06-04,9
2023-06-11,4
2023-06-18,2
2023-06-25,3
2023-07-02,11
2023-07-09,23
2023-07-16,6
2023-07-23,5
