location,lat,lon,scalar,pop
Melitopol,46.8467267,35.3827281,101,154839
Kharkiv,49.9923181,36.2310146,141,1419000
Kropyvnytskyi,48.5105805,32.2656283,27,226491
Selydove,48.15015,37.3018921,1,22276
Shepetivka,50.1809437,27.0651783,1,41189
Svyatohirsk,49.0394511,37.56303,26,4369
Brovary,50.5111168,30.7900482,143,108349
Podilsk,47.7497422,29.5304957,22,40023
Irpin,50.5206777,30.2448725,140,60084
Toretsk,48.3970469,37.8501378,58,32027
Zhytomyr,50.9080532,28.3867504,174,266106
Saky,45.1319466,33.6001281,72,25146
Artsyz,45.9962017,29.431517,1,14666
Chernihiv,51.4982,31.2893,173,285821
Yenakiieve,48.2305107,38.185045,2,79660
Komyshuvakha,48.64025,37.45582,3,5221
Tarasivka,48.206291,23.817329,4,24
Sumy,50.9119775,34.8027723,69,264753
Ternopil,49.6630002,25.6167516,71,216384
Truskavets,49.2783459,23.5064459,9,28647
Tetiiv,49.3686166,29.6771098,1,12855
Korosten,50.9491068,28.6417552,31,62833
Oleksandriia,48.670609,33.1169742,1,78366
Chutove,49.7216667,35.1694444,1,6174
Nikopol,47.5675,34.3948,15,115943
Khmelnytskyi,49.268624,27.0635998,101,265693
Novomoskovsk,48.6358512,35.2595541,15,70357
Kreminna,49.0463189,38.2178525,143,18618
Dovzhansk,48.0811324,39.642561,1,63184
Polohy,47.4807826,36.2531,20,18658
Rozivka,47.3871349,37.0672064,1,2939
Kramatorsk,48.7389415,37.5843812,188,157175
Sudak,44.8488369,34.971099,1,16492
Sorokyne,48.2951425,39.7296737,1,42774
Mala Tokmachka,47.5371697,35.8908529,2,2912
Kaniv,49.7551031,31.4610802,25,23597
Soledar,48.6956698,38.0671791,74,10867
Pereiaslav,50.0643984,31.4447327,1,26786
Svitlodarsk,48.43803,38.22349,48,11127
Zarichne,51.811589,26.1283792,6,7346
Prymorsk,46.7231,36.3541,11,11497
Oskil,49.1776348,37.4245821,88,3217
Chornomorsk,46.3020943,30.653466,20,58934
Fastiv,50.0799307,29.9162821,25,45393
Ladyzhyn,48.6810505,29.2567642,10,22589
Skadovsk,46.1203932,32.910339,10,17640
Lutsk,50.7450733,25.320078,171,213950
Kushuhum,47.71671,35.20981,11,7970
Nyzhnia duvanka,49.5859811,38.1663411,1,1902
Kolomyya,48.5259211,25.0380538,2,61265
Mykhailivka,47.2682868,35.2233984,11,11833
Sloviansk,48.8522691,37.6058241,169,111084
Vilnohirsk,48.49365,34.02328,1,22675
Poltava,49.8607809,33.7498787,153,284942
Chaplynka,46.3617756,33.5380219,9,9622
Marhanets,47.6490555,34.649194,39,46097
Debaltseve,48.3396839,38.3999096,32,24209
Snihurivka,47.070721,32.7924643,79,12432
Bakhmut,48.5894123,38.0020994,40,73212
Nizhyn,51.0464747,31.8806289,14,68007
Chornobaivka,46.6926512,32.5455178,25,14777
